Symbol,Company Name,Industry,Market Cap
AGFY,Agrify,Machinery,43742851
AGGR,Agile Growth,Blank Check / SPAC,381687519
AGI,Alamos Gold,Metals & Mining,3079609359
AGIL,AgileThought,Software-Application,240253388
AGIO,Agios Pharmaceuticals,Biotechnology,1577113860
AGL,agilon health,Medical Care Facilities,11082944216
AGLE,Aeglea Biotherapeutics,Biotechnology,25710801
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1182171151
AGM.A,Federal Agricultural Mortgage,Credit Services,1173183898
AGMH,AGM Group Holdings,Capital Markets,51420176
AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6515742207
AGO,Assured Guaranty,Insurance,3246874844
AGR,Avangrid,Electric Utilities,19000635742
AGRI,AgriFORCE Growing Systems,Farm Products,27522894
AGRO,Adecoagro,Food Products,960221267
AGRX,Agile Therapeutics,Pharmaceuticals,19220185
AGS,PlayAGS,"Hotels, Restaurants & Leisure",194441707
AGTC,Applied Genetic Technologies,Biotechnology,27390829
AGTI,Agiliti,Health Information Services,2600204204
AGX,Argan,Construction & Engineering,509592840
AGYS,Agilysys,Software,1259890758
AHCO,AdaptHealth,Health Care Providers & Services,3453241583
AHG,Akso Health Group,Credit Services,32403632
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1213634895
AHI,Advanced Human Imaging,Software-Application,12888720
AHPA,Avista Public Acquisition II,Blank Check / SPAC,290949979
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,9411751
AHRN,Ahren Acquisition,Blank Check / SPAC,373873015
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,384873048
AI,C3.ai,Software,2371229610
AIB,AIB Acquisition,Blank Check / SPAC,112409468
AIG,American International Group,Insurance,41601960674
AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,70622880
AIHS,Senmiao Technology,Consumer Finance,7450059
AIKI,AIkido Pharma,Biotechnology,32198192
AIM,AIM ImmunoTech,Biotechnology,35556112
AIMA,Aimfinity Investment I,Blank Check / SPAC,91632000
AIMC,Altra Industrial Motion,Machinery,2695054512
AIN,Albany International,Machinery,2805220090
AINC,Ashford,Capital Markets,51367966
AINV,Apollo Investment,Capital Markets,875412448
AIP,Arteris,Semiconductors,280745568
AIR,AAR Corp.,Aerospace & Defense,1585955303
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,6768809782
AIRG,Airgain,"Electronic Equipment, Instruments & C...",83755224
AIRI,Air Industries Group,Aerospace & Defense,22244324
AIRS,AirSculpt Technologies,Medical Care Facilities,505491207
